OBJECTID,NAMELONG,GLEVEL,PHONE,PROJ_CAP,IS_MAGNET,CITY,EXISTING,NAMESHORT,LOGRADE,HIGRADE,CALENDAR,ADDRNUMBER,ADDRROOT,ADDRCITY_1,ADDRZIPCOD,APPTYPE,CAPACITYTO,TEMPCLASSR,STATUS,IS_TITLE1,WEBSITE,TAG,SCHOOLID,LEACODE,CODEN,OBJECTID_1,DISTRICT,NAME,TITLE,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,Shape__Are,Shape__Len,COUNT
90,Brier Creek Elementary,E,919-484-4747,866,N,RALEIGH,YES,BRIER CREEK ES,KI,5,Y,9801,Brier Creek Pkwy,Raleigh,27617,N,834,6,E,N,http://www.wcpss.net/briercreekes,342,342,920342,342,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
91,Durant Road Middle,M,919-870-4098,1371,N,RALEIGH,YES,DURANT RD MS,6,8,Y,10401,Durant Rd,Raleigh,27614,N,1497,10,M,N,http://www.wcpss.net/durantroadms,399,399,920399,399,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
92,Weatherstone Elementary,E,919-380-6988,747,N,CARY,YES,WEATHERSTONE ES,KI,5,T,1000,Olde Weatherstone Way,Cary,27513,N,807,11,E,N,http://www.wcpss.net/weatherstonees,598,598,920598,598,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
93,North Garner Middle,M,919-662-2434,1085,N,GARNER,YES,N GARNER MS,6,8,Y4,720,Powell Dr,Garner,27529,N,1123,5,M,N,http://www.wcpss.net/northgarnerms,512,512,920512,512,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
94,Hilburn Drive Academy,EM,919-571-6800,820,N,RALEIGH,YES,HILBURN DRIVE ACAD,KI,8,T,7100,Hilburn Dr,Raleigh,27613,N,820,12,EM,N,http://www.wcpss.net/hilburnacademy,442,442,920442,442,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
95,Conn Elementary,E,919-856-7637,582,Y,RALEIGH,YES,CONN ES,KI,5,T,1220,Brookside Dr,Raleigh,27604,M,605,4,E,Y,http://www.wcpss.net/connes,380,380,920380,380,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
96,Underwood Elementary,E,919-856-7663,435,Y,RALEIGH,YES,UNDERWOOD ES,KI,5,T,1614,Glenwood Ave,Raleigh,27608,M,472,0,E,N,http://www.wcpss.net/underwoodes,572,572,920572,572,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
97,Mount Vernon Middle-Bridges Program,S,919-233-4313,200,N,RALEIGH,YES,MT VERNON,KI,8,T,5418,Chapel Hill Rd,Raleigh,27607,N,200,0,O,Y,http://www.wcpss.net/mtvernonms,508,508,920508,508,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
98,Jones Dairy Elementary,E,919-562-6181,774,N,WAKE COUNTY,YES,JONES DAIRY ES,KI,5,Y,1100,Jones Dairy Rd,Wake Forest,27587,N,719,4,E,N,http://www.wcpss.net/jonesdairyes,453,453,920453,453,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
99,Wakefield Elementary,E,919-562-3555,678,N,RALEIGH,YES,WAKEFIELD ES,KI,5,T,2400,Wakefield Pines Dr,Raleigh,27614,N,742,10,E,Y,http://www.wcpss.net/wakefieldes,593,593,920593,593,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
100,Wakefield Middle,M,919-562-3500,1007,N,RALEIGH,YES,WAKEFIELD MS,6,8,T,2300,Wakefield Pines Dr,Raleigh,27614,N,1110,7,M,N,http://www.wcpss.net/wakefieldms,594,594,920594,594,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
101,Wakefield High,H,919-562-3600,1831,N,RALEIGH,YES,WAKEFIELD HS,9,12,T,2200,Wakefield Pines Dr,Raleigh,27614,N,2150,16,H,N,http://www.wcpss.net/wakefieldhs,595,595,920595,595,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
102,Green Elementary,E,919-431-8141,644,Y,RALEIGH,YES,GREEN ES,KI,5,T,5307,Six Forks Rd,Raleigh,27609,M,644,0,E,Y,http://www.wcpss.net/greenes,440,440,920440,440,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
103,Knightdale High,H,919-217-5350,1807,N,KNIGHTDALE,YES,KNIGHTDALE HS,9,12,T,100,Bryan Chalk Ln,Knightdale,27545,N,1821,8,H,N,http://www.wcpss.net/knightdalehs,466,466,920466,466,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
104,Forestville Road Elementary,E,919-266-8487,770,N,KNIGHTDALE,YES,FORESTVILLE RD ES,KI,5,T,100,Lawson Ridge Rd,Knightdale,27545,N,658,6,E,Y,http://www.wcpss.net/forestvilleroades,413,413,920413,413,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
105,Carpenter Elementary,E,919-462-6780,774,N,CARY,YES,CARPENTER ES,KI,5,Y,2100,Morrisville Pkwy,Cary,27519,N,760,2,E,N,http://www.wcpss.net/carpenteres,358,358,920358,358,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
106,Reedy Creek Elementary,E,919-380-3660,770,N,CARY,YES,REEDY CREEK ES,KI,5,T,940,Reedy Creek Rd,Cary,27513,N,690,9,E,Y,http://www.wcpss.net/reedycreekes,542,542,920542,542,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
107,Reedy Creek Middle,M,919-460-3504,903,Y,CARY,YES,REEDY CREEK MS,6,8,T,930,Reedy Creek Rd,Cary,27513,M,928,0,M,N,http://www.wcpss.net/reedycreekms,400,400,920400,400,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
108,Harris Creek Elementary,E,919-217-5100,1009,N,RALEIGH,YES,HARRIS CREEK ES,KI,5,Y,3829,Forestville Rd,Raleigh,27616,N,1060,6,E,N,http://www.wcpss.net/harriscreekes,451,451,920451,451,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
109,Dillard Drive Middle,M,919-233-4228,1033,N,RALEIGH,YES,DILLARD DR MS,6,8,T,5200,Dillard Dr,Raleigh,27606,N,1159,6,M,N,http://www.wcpss.net/dillarddrivems,394,394,920394,394,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
110,Dillard Drive Elementary,E,919-233-4200,747,N,RALEIGH,YES,DILLARD DR ES,KI,5,T,5018,Dillard Dr,Raleigh,27606,N,715,10,E,Y,http://www.wcpss.net/dillarddrivees,393,393,920393,393,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
111,HARRIET B WEBSTER AT CROSSROADS II ADM,A,919-431-7400,0,,CARY,NO,ADM,,,,110,Corning Rd,Cary,27518,,0,0,A,,,003,003,920003,3,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
112,SPRING FOREST ROAD MODULAR SITE,U,,0,,RALEIGH,NO,SPRING FOREST SITE,,,,3851,Spring Forest Rd,Raleigh,27616,,0,0,U,,,221,221,920221,221,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
113,East Garner Middle,M,919-662-2339,955,Y,GARNER,YES,E GARNER MS,6,8,T,6301,Jones Sausage Rd,Garner,27529,M,1305,21,M,N,http://www.wcpss.net/eastgarnerms,404,404,920404,404,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
114,East Garner Elementary,E,919-773-7411,777,N,GARNER,YES,E GARNER ES,KI,5,T,5545,Jones Sausage Rd,Garner,27529,N,630,0,E,Y,http://www.wcpss.net/eastgarneres,403,403,920403,403,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
115,North Forest Pines Elementary,E,919-570-2220,774,N,RALEIGH,YES,N FOREST PINES ES,KI,5,Y,11501,Forest Pines Dr,Raleigh,27614,N,788,0,E,N,http://www.wcpss.net/northforestpineses,514,514,920514,514,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
116,River Oaks Middle,S,919-231-5600,105,N,RALEIGH,YES,RIVER OAKS MS,6,8,T,4700,New Bern Ave,Raleigh,27610,N,105,0,O,Y,http://www.wcpss.net/riveroaksms,438,438,920438,438,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
117,Hodge Road Elementary,E,919-266-8599,678,Y,KNIGHTDALE,YES,HODGE RD ES,KI,5,Y4,2128,Mingo Bluff Blvd,Knightdale,27545,M,531,5,E,Y,http://www.wcpss.net/hodgeroades,446,446,920446,446,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
118,Lincoln Heights Elementary,E,919-557-2587,724,Y,FUQUAY-VARINA,YES,LINCOLN HEIGHTS ES,KI,5,T,307,Bridge St,Fuquay-Varina,27526,M,483,6,E,Y,http://www.wcpss.net/lincolnheightses,476,476,920476,476,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
119,Middle Creek Elementary,E,919-773-9555,889,N,CARY,YES,MIDDLE CREEK ES,KI,5,Y,110,Middle Creek Park Ave,Apex,27539,N,972,16,E,N,http://www.wcpss.net/middlecreekes,494,494,920494,494,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
120,Barwell Road Elementary,E,919-661-5405,731,N,RALEIGH,YES,BARWELL RD ES,KI,5,Y4,3925,Barwell Rd,Raleigh,27610,N,773,0,E,Y,http://www.wcpss.net/barwellroades,329,329,920329,329,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
121,Ballentine Elementary,E,919-557-1120,682,N,FUQUAY-VARINA,YES,BALLENTINE ES,KI,5,Y,1651,N  McLaurin Ln,Fuquay-Varina,27526,N,613,0,E,N,http://www.wcpss.net/ballentinees,327,327,920327,327,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
122,Fuquay-Varina Elementary,E,919-557-2566,655,N,FUQUAY-VARINA,YES,FUQUAY-VARINA ES,KI,5,T,6600,Johnson Pond Rd,Fuquay-Varina,27526,N,796,15,E,N,http://www.wcpss.net/fuquayvarinaes,420,420,920420,420,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
123,Creech Road Elementary,E,919-662-2359,747,N,GARNER,YES,CREECH RD ES,KI,5,T,450,Creech Rd,Garner,27529,N,658,5,E,Y,http://www.wcpss.net/creechroades,384,384,920384,384,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
124,Smith Elementary,E,919-662-2458,803,Y,GARNER,YES,SMITH ES,KI,5,T,1101,Maxwell Dr,Raleigh,27603,M,692,0,E,Y,http://www.wcpss.net/smithes,560,560,920560,560,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
125,Penny Road Elementary,E,919-387-2136,609,N,CARY,YES,PENNY RD ES,KI,5,T,10900,Penny Rd,Cary,27518,N,692,7,E,N,http://www.wcpss.net/pennyroades,530,530,920530,530,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
126,Forest Pines Drive Elementary,E,919-562-6262,655,N,RALEIGH,YES,FOREST PINES DR ES,KI,5,T,11455,Forest Pines Dr,Raleigh,27614,N,669,0,E,N,http://www.wcpss.net/forestpinesdrivees,417,417,920417,417,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
127,Fuller Elementary,E,919-856-7625,504,Y,RALEIGH,YES,FULLER ES,KI,5,T,806,Calloway Dr,Raleigh,27610,M,541,8,E,Y,http://www.wcpss.net/fulleres,416,416,920416,416,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
128,Hunter Elementary,E,919-856-7676,569,Y,RALEIGH,YES,HUNTER ES,KI,5,T,1018,E Davie St,Raleigh,27601,M,647,6,E,Y,http://www.wcpss.net/hunteres,448,448,920448,448,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
129,Timber Drive Elementary,E,919-773-9500,701,N,GARNER,YES,TIMBER DR ES,KI,5,Y4,1601,Timber Dr,Garner,27529,N,658,9,E,Y,http://www.wcpss.net/timberdrivees,570,570,920570,570,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
130,Holly Springs Elementary,E,919-557-2660,843,N,HOLLY SPRINGS,YES,HOLLY SPRINGS ES,KI,5,Y,401,Holly Springs Rd,Holly Springs,27540,N,917,12,E,N,http://www.wcpss.net/hollyspringses,447,447,920447,447,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
131,Garner High,H,919-662-2379,1871,Y,GARNER,YES,GARNER HS,9,12,T,2101,Spring Dr,Garner,27529,M,2820,33,H,N,http://www.wcpss.net/garnerhs,436,436,920436,436,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
132,Holly Ridge Elementary,E,919-577-1300,655,N,HOLLY SPRINGS,YES,HOLLY RIDGE ES,KI,5,T,900,Holly Springs Rd,Holly Springs,27540,N,738,8,E,N,http://www.wcpss.net/hollyridgees,449,449,920449,449,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
133,Holly Ridge Middle,M,919-577-1335,981,N,HOLLY SPRINGS,YES,HOLLY RIDGE MS,6,8,T,950,Holly Springs Rd,Holly Springs,27540,N,1266,14,M,N,http://www.wcpss.net/hollyridgems,450,450,920450,450,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
134,Holly Grove Elementary,E,919-577-1700,963,N,HOLLY SPRINGS,YES,HOLLY GROVE ES,KI,5,Y,1451,Avent Ferry Rd,Holly Springs,27540,N,1072,3,E,N,http://www.wcpss.net/hollygrovees,457,457,920457,457,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
135,Fuquay-Varina High,H,919-557-2511,1759,N,FUQUAY-VARINA,YES,FUQUAY-VARINA HS,9,12,T,201,Bengal Blvd,Fuquay-Varina,27526,N,2139,22,H,N,http://www.wcpss.net/fuquayvarinahs,428,428,920428,428,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
136,Zebulon Elementary,E,919-404-3680,684,Y,ZEBULON,YES,ZEBULON ES,KI,5,T,700,Proctor St,Zebulon,27597,M,634,4,E,Y,http://www.wcpss.net/zebulones,632,632,920632,632,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
137,Poe Elementary,E,919-250-4777,369,Y,RALEIGH,YES,POE ES,KI,5,T,400,Peyton St,Raleigh,27610,M,382,0,E,Y,http://www.wcpss.net/poees,532,532,920532,532,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
138,Longview School,S,919-856-7691,652,N,RALEIGH,YES,LONGVIEW,6,12,T,318,N King Charles Rd,Raleigh,27610,N,652,0,O,N,http://www.wcpss.net/longview,324,324,920324,324,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
139,Vandora Springs Elementary,E,919-662-2486,609,N,GARNER,YES,VANDORA SPRINGS ES,KI,5,T,1300,Vandora Springs Rd,Garner,27529,N,577,5,E,Y,http://www.wcpss.net/vandoraspringses,580,580,920580,580,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
140,Wake Early College of Health and Sciences,H,919-212-5800,375,A,RALEIGH,YES,WAKE EARLY COLLEGE,9,13,C,2901,Holston Ln,Raleigh,27610,Y,375,1,H,N,http://www.wcpss.net/healthscienceec,583,583,920583,583,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
141,Aversboro Elementary,E,919-662-2325,747,N,GARNER,YES,AVERSBORO ES,KI,5,T,1605,Aversboro Rd,Garner,27529,N,632,4,E,Y,http://www.wcpss.net/aversboroes,320,320,920320,320,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
142,Sanford Creek Elementary,E,919-570-2100,820,N,ROLESVILLE,YES,SANFORD CREEK ES,KI,5,Y,701,Granite Falls Blvd,Rolesville,27571,N,728,0,E,N,http://www.wcpss.net/sanfordcreekes,554,554,920554,554,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
143,Wakelon Elementary,E,919-404-3844,731,N,ZEBULON,YES,WAKELON ES,KI,5,T,8921,Pippin Rd,Zebulon,27597,N,598,0,E,Y,http://www.wcpss.net/wakelones,597,597,920597,597,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
144,Mills Park Elementary,E,919-466-1466,846,N,CARY,YES,MILLS PARK ES,KI,5,T,509,Mills Park Dr,Cary,27519,N,920,3,E,N,http://www.wcpss.net/millsparkes,501,501,920501,501,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
145,Sycamore Creek Elementary,E,919-841-4333,1078,N,RALEIGH,YES,SYCAMORE CREEK ES,KI,5,Y,10921,Leesville Rd,Raleigh,27613,N,1127,0,E,N,http://www.wcpss.net/sycamorecreekes,569,569,920569,569,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
146,Laurel Park Elementary,E,919-290-2333,986,N,CARY,YES,LAUREL PARK ES,KI,5,Y,2450,Laura Duncan Rd,Apex,27523,N,997,2,E,N,http://www.wcpss.net/laurelparkes,467,467,920467,467,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
147,BRYAN ROAD ES SITE,E,,0,,GARNER,NO,BRYAN ROAD SITE,,,,,Bryan Rd,Garner,27529,,0,0,N,,,E31,E31,E31,0,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
148,BRYAN ROAD MS SITE,M,,0,,GARNER,NO,BRYAN ROAD SITE,,,,,Bryan Rd,Garner,27529,,0,0,N,,,M12,M12,M12,0,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
149,Lake Myra Elementary,E,919-365-8990,846,N,WENDELL,YES,LAKE MYRA ES,KI,5,Y4,1300,Elk Falls Rd,Wendell,27591,N,725,0,E,Y,http://www.wcpss.net/lakemyraes,474,474,920474,474,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
150,Scotts Ridge Elementary,E,919-694-0300,872,N,APEX,YES,SCOTTS RIDGE ES,KI,5,T,6601,Apex Barbecue Rd,Apex,27502,N,780,0,E,N,http://www.wcpss.net/scottsridgees,557,557,920557,557,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
151,Herbert Akins Road Elementary,E,919-567-4100,1078,N,FUQUAY-VARINA,YES,HERBERT AKINS RD ES,KI,5,Y,2255,Herbert Akins Rd,Fuquay-Varina,27526,N,1064,0,E,N,http://www.wcpss.net/herbertakinsroades,306,306,920306,306,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
152,DUBOIS CENTER,U,919-554-8400,0,,WAKE FOREST,NO,DUBOIS CENTER,,,,530,E Perry Ave,Wake Forest,27587,,0,0,U,,,202,202,920202,202,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
153,River Bend Elementary,E,919-431-8010,1124,N,RALEIGH,YES,RIVER BEND ES,KI,5,T,6710,Perry Creek Rd,Raleigh,27616,N,957,0,E,Y,http://www.wcpss.net/riverbendes,302,302,920302,302,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
154,WENDELL AREA ES_PRE K SITE,E,,0,,WENDELL,NO,WENDELL AREA SITE,,,,,,Wendell,27591,,0,0,N,,,E29,E29,E29,0,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
155,Banks Road Elementary,E,919-890-7333,1170,N,FUQUAY-VARINA,YES,BANKS RD ES,KI,5,Y,10225,Chambers Rd,Raleigh,27603,N,1012,0,E,N,http://www.wcpss.net/banksroades,325,325,920325,325,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
156,Vance Elementary,E,919-662-2472,517,N,WAKE COUNTY,YES,VANCE ES,KI,5,Y4,8808,Old Stage Rd,Raleigh,27603,N,490,6,E,N,http://www.wcpss.net/vancees,576,576,920576,576,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
157,Joyner Elementary,E,919-856-7650,489,Y,RALEIGH,YES,JOYNER ES,KI,5,T,2300,Lowden St,Raleigh,27608,M,650,8,E,N,http://www.wcpss.net/joyneres,456,456,920456,456,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
158,Walnut Creek Elementary,E,919-857-9500,846,N,RALEIGH,YES,WALNUT CREEK ES,KI,5,Y4,2600,Sunnybrook Rd,Raleigh,27610,N,754,2,E,Y,http://www.wcpss.net/walnutcreekes,599,599,920599,599,1,4,Keith Sutton,,,,,,0.01081,0.64744,19
159,WAKE EARLY COLLEGE NORTH CAMPUS HS,U,919-532-5660,0,N,RALEIGH,NO,WAKE EARLY N,,,,6600,Louisburg Rd,Raleigh,27616,,0,0,U,N,http://healthscienceec.wcpss.net/#,232,232,920232,232,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
160,Wendell Middle,M,919-365-1667,981,N,WAKE COUNTY,YES,WENDELL MS,6,8,T,3409,NC 97 Hwy,Wendell,27591,N,928,0,M,N,http://www.wcpss.net/wendellms,601,601,920601,601,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
161,Willow Springs Elementary,E,919-557-2770,774,N,WAKE COUNTY,YES,WILLOW SPRINGS ES,KI,5,Y,6800,Dwight Rowland Rd,Willow Springs,27592,N,926,16,E,N,http://www.wcpss.net/willowspringses,624,624,920624,624,9,2,Monika Johnson-Hostler,,,,BSTRAUSS,2017-09-27T13:18:31.000Z,0.0386,1.23693,20
162,Alston Ridge Elementary,E,919-544-2474,1216,N,CARY,YES,ALSTON RIDGE ES,KI,5,Y,11555,Green Level Church Rd,Cary,27519,N,1175,0,E,N,http://www.wcpss.net/alstonridgees,307,307,920307,307,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
163,Holly Grove Middle,M,919-567-4177,1623,N,HOLLY SPRINGS,YES,HOLLY GROVE MS,6,8,Y,1401,Avent Ferry Rd,Holly Springs,27540,N,1639,0,M,N,http://www.wcpss.net/hollygrovems,458,458,920458,458,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
164,Mills Park Middle,M,919-466-1500,1415,N,CARY,YES,MILLS PARK MS,6,8,T,441,Mills Park Dr,Cary,27519,N,1552,4,M,N,http://www.wcpss.net/millsparkms,502,502,920502,502,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
165,West Lake Middle,M,919-662-2900,1189,N,CARY,YES,W LAKE MS,6,8,Y,4600,West Lake Rd,Apex,27539,N,1452,12,M,N,http://www.wcpss.net/westlakems,607,607,920607,607,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
166,Heritage High,H,919-570-5600,1663,N,WAKE FOREST,YES,HERITAGE HS,9,12,T,1150,Forestville Rd,Wake Forest,27587,N,1639,0,H,N,http://www.wcpss.net/heritagehs,445,445,920445,445,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
167,Wake STEM  Early College High School,H,919-515-2255,250,A,RALEIGH,YES,WAKE STEM EC,9,13,C,715,Barbour Dr,Raleigh,27603,Y,250,2,H,N,http://www.wcpss.net/stemec,582,582,920582,582,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
168,Wake Young Men's Leadership Academy,MH,919-664-5644,365,A,RALEIGH,YES,WAKE MEN'S ACADEMY,6,13,C,567,E Hargett St,Raleigh,27601,Y,365,3,MH,N,http://www.wcpss.net/wakeyoungmen,585,585,920585,585,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
169,Wake Young Women's Leadership Academy,MH,919-508-9088,401,A,RALEIGH,YES,WAKE WOMEN'S ACADEMY,6,13,C,303,Ashe Ave,Raleigh,27606,Y,401,3,MH,N,http://www.wcpss.net/wywla,586,586,920586,586,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
170,Richland Creek Elementary,E,919-554-6333,754,N,WAKE FOREST,YES,RICHLAND CREEK ES,KI,5,T,840,Wallridge Drive,Wake Forest,27587,N,754,0,E,N,http://www.wcpss.net/richlandcreekes,543,543,920543,543,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
171,Lacy Elementary,E,919-881-4920,701,N,RALEIGH,YES,LACY ES,KI,5,T,2001,Lake Boone Trl,Raleigh,27607,N,710,2,E,N,http://www.wcpss.net/lacyes,468,468,920468,468,4,6,Christine Kushner,,,,,,0.01018,0.76802,23
172,Rolesville Middle,M,919-570-2260,1779,N,ROLESVILLE,YES,ROLESVILLE MS,6,8,Y,4700,Burlington Mills Rd,Rolesville,27571,N,1623,0,M,N,http://www.wcpss.net/rolesvillems,545,545,920545,545,3,1,Donald Agee,,,,LSAGO,2017-03-01T09:19:29.000Z,0.05142,1.20996,30
173,Abbotts Creek Elementary,E,919-694-0555,780,N,RALEIGH,YES,ABBOTTS CREEK ES,KI,5,T,9900,Durant Rd,Raleigh,27614,N,780,0,E,N,http://www.wcpss.net/abbottscreekes,303,303,920303,303,6,3,Roxie Cash,,,,LSAGO,2017-03-01T09:19:59.000Z,0.02997,0.88624,18
174,WCPSS  AT CROSSROADS I ADM,A,919-431-7400,0,,CARY,NO,ADM,,,,5625,Dillard Dr,Cary,27518,,0,0,A,,http://www.wcpss.net/,001,001,920001,1,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
175,Leesville Road High,H,919-870-4250,2243,N,RALEIGH,YES,LEESVILLE RD HS,9,12,T,8410,Pride Way,Raleigh,27613,N,2493,11,H,N,http://www.wcpss.net/leesvilleroadhs,473,473,920473,473,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
176,Leesville Road Middle,M,919-870-4141,903,N,RALEIGH,YES,LEESVILLE RD MS,6,8,T,8406,Pride Way,Raleigh,27613,N,1162,14,M,N,http://www.wcpss.net/leesvilleroadms,471,471,920471,471,5,7,Kathy Hartenstine,,,,LSAGO,2017-03-01T09:19:47.000Z,0.01764,0.8686,15
